ID,code,name
10000000-0000-0000-0000-000000000001,IT,Information Technology
10000000-0000-0000-0000-000000000002,MFG,Manufacturing
10000000-0000-0000-0000-000000000003,FIN,Financial Services
10000000-0000-0000-0000-000000000004,RET,Retail
10000000-0000-0000-0000-000000000005,ENE,Energy
10000000-0000-0000-0000-000000000006,ELE,Electronics
10000000-0000-0000-0000-000000000007,MIN,Mining
10000000-0000-0000-0000-000000000008,TXT,Textiles
10000000-0000-0000-0000-000000000009,PHR,Pharmaceuticals
10000000-0000-0000-0000-000000000010,LOG,Logistics
10000000-0000-0000-0000-000000000011,FNB,Food & Beverage
10000000-0000-0000-0000-000000000012,HLT,Healthcare
10000000-0000-0000-0000-000000000013,AUT,Automotive
10000000-0000-0000-0000-000000000014,CHE,Chemicals
10000000-0000-0000-0000-000000000015,TEL,Telecommunications
10000000-0000-0000-0000-000000000016,INF,Infrastructure
10000000-0000-0000-0000-000000000017,CON,Construction
10000000-0000-0000-0000-000000000018,FIS,Fisheries
10000000-0000-0000-0000-000000000019,SFT,Software
10000000-0000-0000-0000-000000000020,AGR,Agriculture
