ID,name,level,employee_ID
dddddddd-dddd-dddd-dddd-dddddddddddd,SAP Fiori Elements,5,77777777-7777-7777-7777-777777777777
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,SAP CAPM,5,77777777-7777-7777-7777-777777777777
ffffffff-ffff-ffff-ffff-ffffffffffff,JavaScript,4,77777777-7777-7777-7777-777777777777
11111111-2222-3333-4444-555555555555,OData V4,5,77777777-7777-7777-7777-777777777777
22222222-3333-4444-5555-666666666666,SAP BTP,4,77777777-7777-7777-7777-777777777777
33333333-4444-5555-6666-777777777777,Cloud Foundry,3,77777777-7777-7777-7777-777777777777
44444444-5555-6666-7777-888888888888,ABAP Basics,3,77777777-7777-7777-7777-777777777777
55555555-6666-7777-8888-999999999999,SAP HANA Cloud,4,77777777-7777-7777-7777-777777777777
66666666-7777-8888-9999-aaaaaaaaaaaa,SAP Security,3,77777777-7777-7777-7777-777777777777
77777777-8888-9999-aaaa-bbbbbbbbbbbb,Workflow Management,4,77777777-7777-7777-7777-777777777777
